"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient", "Heat_Flux"
56015, 1.059404071200000e-04, 1.817404790600000e-03, 1.179087926330172e+05, 6.845523306951637e-01, 5.157986950447823e-03, -1.137838429669562e-02
56016, 1.500786146400000e-04, -2.161299885400000e-03, 1.190840265270460e+05, 9.398930776175527e-01, 2.507115866274671e-03, -3.217222786234215e-03
56273, 7.180327325400000e-05, 1.497376923400000e-03, 1.180293684676604e+05, 7.107496041357926e-01, 4.933202764311181e-03, -9.883292904965847e-03
56274, 1.059404071200000e-04, -1.817404790500000e-03, 1.190109681626813e+05, 9.240198310913960e-01, 2.815258760912034e-03, -3.703740415599158e-03
56531, 4.602934243200000e-05, 1.199749231500000e-03, 1.181375570715333e+05, 7.342555284133065e-01, 4.741388046176972e-03, -8.678718863114677e-03
56532, 7.180327325000000e-05, -1.497376923400000e-03, 1.189383315260181e+05, 9.082382125099947e-01, 3.080047285658138e-03, -4.098510358244445e-03
56789, 2.721275945700000e-05, 9.231024272100000e-04, 1.182336075136030e+05, 7.551242182502098e-01, 4.538254790890586e-03, -7.566201846380299e-03
56790, 4.602934243000000e-05, -1.199749231500000e-03, 1.188671789696795e+05, 8.927790371294484e-01, 3.316167610795712e-03, -4.429543304714892e-03
57047, 1.415062741400000e-05, 6.660729881200000e-04, 1.183184158124553e+05, 7.735503498349006e-01, 4.330505650049984e-03, -6.563470614506940e-03
57048, 2.721275945500000e-05, -9.231024271900000e-04, 1.187978871882098e+05, 8.777241486294334e-01, 3.536576419064024e-03, -4.721127922028826e-03
57305, 5.818606344100000e-06, 4.273592491000000e-04, 1.183946408001199e+05, 7.901116023509603e-01, 4.152043941506304e-03, -5.750086382691304e-03
57306, 1.415062741400000e-05, -6.660729881100000e-04, 1.187312626597457e+05, 8.632487689217621e-01, 3.703229313455959e-03, -4.880156870741476e-03
57563, 1.346916910200000e-06, 2.057247437000000e-04, 1.184631805736262e+05, 8.050031035660867e-01, 4.014007083341139e-03, -5.121560835311809e-03
57564, 5.818606343900000e-06, -4.273592490900000e-04, 1.186649246886638e+05, 8.488356489705582e-01, 3.826725513274129e-03, -4.924974101187403e-03
